agent_receive_unix_time_ms,agent_receive_monotonic_time_ns,sdk_receive_unix_time_ms,agent_session_id,telemetry_sequence,transport_stream_id,drone_id,lat_deg,lon_deg,rel_alt_m,battery_percent,mode,gps_fix_type,gps_hdop,horizontal_accuracy_m,estimator_state,goal_id,goal_revision,physical_attempt_id,physical_attempt_revision,operation_id
1787255292921,3319700980658041,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",1,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255362186,3319770244325666,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",2,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255362655,3319770713298500,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",3,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255362868,3319770927144625,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",4,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255363160,3319771218750166,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",5,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255363392,3319771450367625,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",6,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255363665,3319771723930000,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",7,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255363918,3319771976619500,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",8,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255364265,3319772323540708,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",9,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255364635,3319772693987916,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",10,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255364988,3319773046966291,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",11,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255365251,3319773309882291,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",12,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255365492,3319773550965833,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",13,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255366016,3319774074835666,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",14,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255366593,3319774651773625,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",15,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255366827,3319774886050708,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",16,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255367066,3319775124485375,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",17,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255367348,3319775407049000,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",18,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255367588,3319775646870041,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",19,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255367870,3319775928259083,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",20,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255368113,3319776172021708,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",21,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255368327,3319776385337958,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",22,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255368528,3319776586718375,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",23,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255368734,3319776792458291,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",24,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255369044,3319777102691458,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",25,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255369557,3319777615526041,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",26,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255369793,3319777851944250,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",27,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255370401,3319778459295208,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",28,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255370734,3319778792629875,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",29,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255370935,3319778993178083,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",30,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255371267,3319779325580583,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",31,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255371601,3319779659380166,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",32,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255371804,3319779862942625,1787255451409,"agent-session-1787255276918-19508172377872517948717267141108568655-1",33,"telemetry-1787255451408-1207254672493020422114190518632329433441-6","drone-1",-35.3632621,149.16523710000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
