agent_receive_unix_time_ms,agent_receive_monotonic_time_ns,sdk_receive_unix_time_ms,agent_session_id,telemetry_sequence,transport_stream_id,drone_id,lat_deg,lon_deg,rel_alt_m,battery_percent,mode,gps_fix_type,gps_hdop,horizontal_accuracy_m,estimator_state,goal_id,goal_revision,physical_attempt_id,physical_attempt_revision,operation_id
1787255296472,3319704531078541,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",1,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.3632621,149.16663700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255431028,3319839086296416,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",2,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255431299,3319839357019500,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",3,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255431607,3319839665419791,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",4,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255431811,3319839869494208,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",5,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255432076,3319840134403000,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",6,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255432353,3319840411471250,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",7,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255432759,3319840817186250,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",8,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255432972,3319841030316583,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",9,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5.00099993,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255433214,3319841272555125,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",10,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5.00099993,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255433450,3319841507860791,1787255513159,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",11,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5.00099993,73,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
