agent_receive_unix_time_ms,agent_receive_monotonic_time_ns,sdk_receive_unix_time_ms,agent_session_id,telemetry_sequence,transport_stream_id,drone_id,lat_deg,lon_deg,rel_alt_m,battery_percent,mode,gps_fix_type,gps_hdop,horizontal_accuracy_m,estimator_state,goal_id,goal_revision,physical_attempt_id,physical_attempt_revision,operation_id
1787255295894,3319703953671875,1787255479612,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",1,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255360392,3319768451165166,1787255479612,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",2,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255360770,3319768828444916,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",3,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255361053,3319769111588916,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",4,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255361296,3319769354452166,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",5,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255361666,3319769725073666,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",6,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255362011,3319770069632666,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",7,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255362344,3319770403055833,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",8,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255362690,3319770749193958,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",9,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255363062,3319771120821375,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",10,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
